timestamp,emotion,confidence
2026-04-23T17:11:34.382,Happy,0.9757
2026-04-23T17:11:34.504,Surprise,0.9841
2026-04-23T17:11:34.519,Fear,0.9995
2026-04-23T17:11:34.658,Surprise,0.9922
2026-04-23T17:11:34.672,Fear,0.9995
2026-04-23T17:11:34.776,Surprise,0.9811
2026-04-23T17:11:34.791,Fear,0.9994
2026-04-23T17:11:34.894,Surprise,0.9913
2026-04-23T17:11:34.985,Surprise,0.9964
2026-04-23T17:11:35.108,Surprise,0.9907
2026-04-23T17:11:35.208,Surprise,0.9927
2026-04-23T17:11:35.222,Fear,0.9993
2026-04-23T17:11:35.236,Fear,0.9995
2026-04-23T17:11:35.333,Surprise,0.9719
2026-04-23T17:11:35.441,Surprise,0.7306
2026-04-23T17:11:35.454,Fear,0.9994
2026-04-23T17:11:35.583,Angry,0.5407
2026-04-23T17:11:35.681,Fear,0.9993
2026-04-23T17:11:35.726,Happy,0.8385
2026-04-23T17:11:35.742,Fear,0.9996
2026-04-23T17:11:35.838,Happy,0.9073
2026-04-23T17:11:35.853,Fear,0.9995
2026-04-23T17:11:35.970,Happy,0.8810
2026-04-23T17:11:36.082,Happy,0.7633
2026-04-23T17:11:36.174,Happy,0.5962
2026-04-23T17:11:36.257,Happy,0.9007
2026-04-23T17:11:36.273,Fear,0.9989
2026-04-23T17:11:36.287,Fear,0.9993
2026-04-23T17:11:36.400,Happy,0.9647
2026-04-23T17:11:36.414,Neutral,0.9896
2026-04-23T17:11:36.505,Happy,0.4800
2026-04-23T17:11:36.519,Fear,0.9994
2026-04-23T17:11:36.533,Fear,0.9991
2026-04-23T17:11:36.546,Angry,0.9989
2026-04-23T17:11:36.652,Happy,0.9587
2026-04-23T17:11:36.669,Fear,0.9982
2026-04-23T17:11:36.682,Fear,0.9994
2026-04-23T17:11:36.697,Fear,0.9831
2026-04-23T17:11:36.812,Sad,0.4261
2026-04-23T17:11:36.830,Neutral,0.9873
2026-04-23T17:11:36.929,Happy,0.9678
2026-04-23T17:11:37.017,Happy,0.9678
2026-04-23T17:11:37.159,Sad,0.5615
2026-04-23T17:11:37.173,Neutral,0.9618
2026-04-23T17:11:37.297,Happy,0.8447
2026-04-23T17:11:37.404,Sad,0.4773
2026-04-23T17:11:37.530,Happy,0.8453
2026-04-23T17:11:37.542,Neutral,0.9860
2026-04-23T17:11:37.556,Fear,0.9993
2026-04-23T17:11:37.569,Fear,0.9992
2026-04-23T17:11:37.666,Neutral,0.5041
2026-04-23T17:11:37.680,Neutral,0.7666
2026-04-23T17:11:37.694,Fear,0.9989
2026-04-23T17:11:37.774,Neutral,0.4369
2026-04-23T17:11:37.788,Fear,0.9944
2026-04-23T17:11:37.889,Sad,0.3476
2026-04-23T17:11:37.983,Sad,0.3384
2026-04-23T17:11:38.071,Fear,0.3950
2026-04-23T17:11:38.161,Fear,0.4185
